연번,행정구역,안심 주소,위도,경도,CCTV 수량
16,서울특별시 관악구,A0014 1-1RZ 색동공원 (신림동 1418-1와 1414-34),37.4864,126.9329,1
33,서울특별시 관악구,A1008 1-1RZ 새들어린이공원 (신림동 1441-42),37.4886,126.9256,1
34,서울특별시 관악구,A1009 1-1RZ 새들어린이공원 (신림동 1441-42),37.4886,126.9259,1
283,서울특별시 관악구,AH001 1-1R 신림동 143-1(AA010,37.4684,126.9483,1
284,서울특별시 관악구,AH002 1-1RZ 신림동 143-1,37.468,126.9486,1
287,서울특별시 관악구,AH006 1-3RZ 신림동 산 133-4(관악산도시자연공원),37.4705,126.9256,1
288,서울특별시 관악구,AH006 2-3SZ 신림동 산 133-4(관악산도시자연공원),37.4707,126.9257,1
289,서울특별시 관악구,AH006 3-3SZ 신림동 산 133-4(관악산도시자연공원),37.4702,126.9257,1
294,서울특별시 관악구,AH009 1-3R  신림동667-83,37.4622,126.9188,1
295,서울특별시 관악구,AH009 2-3S 신림동667-83,37.4623,126.9188,1
296,서울특별시 관악구,AH009 3-3S 신림동667-83,37.4622,126.9188,1
302,서울특별시 관악구,C1001 1-4R 신림동 1426-1 와 1417-43,37.4877,126.9301,1
303,서울특별시 관악구,C1001 2-4S 신림동 1426-1 와 1417-43,37.4877,126.9303,1
304,서울특별시 관악구,C1001 3-4S 신림동 1426-1 와 1417-43,37.4876,126.9302,1
305,서울특별시 관악구,C1001 4-4S 신림동 1426-1 와 1417-43,37.4878,126.9302,1
518,서울특별시 관악구,CD003 1-5R 신림동 524-1,37.4844,126.9146,1
519,서울특별시 관악구,CD003 2-5S 신림동 524-1,37.4845,126.9146,1
520,서울특별시 관악구,CD003 3-5S 신림동 524-1,37.4843,126.9146,1
521,서울특별시 관악구,CD003 4-5S 신림동 524-1,37.4844,126.9147,1
522,서울특별시 관악구,CD003 5-5S 신림동 524-1,37.4845,126.9147,1
828,서울특별시 관악구,D2055 1-4RX 신림동 1440-25,37.488,126.9257,1
829,서울특별시 관악구,D2055 2-4SZ 신림동 1440-25,37.4879,126.9258,1
830,서울특별시 관악구,D2055 3-4SZ 신림동 1440-25,37.4881,126.9257,1
831,서울특별시 관악구,D2055 4-4SZ 신림동 1440-25,37.488,126.9259,1
832,서울특별시 관악구,D2056 1-5R 신림동 1718,37.4888,126.9224,1
833,서울특별시 관악구,D2056 2-5S 신림동 1718,37.4887,126.9225,1
834,서울특별시 관악구,D2056 3-5S 신림동 1718,37.4888,126.9225,1
835,서울특별시 관악구,D2056 4-5S 신림동 1718,37.4889,126.9224,1
836,서울특별시 관악구,D2056 5-5S 신림동 1718,37.4888,126.9223,1
1138,서울특별시 관악구,D3048 1-4R 신림동 1430-1,37.4884,126.9276,1
1139,서울특별시 관악구,D3048 2-4S 신림동 1430-1,37.4883,126.9276,1
1140,서울특별시 관악구,D3048 3-4S 신림동 1430-1,37.4884,126.9277,1
1141,서울특별시 관악구,D3048 4-4S 신림동 1430-1,37.4883,126.9275,1
1142,서울특별시 관악구,D3049 1-1R 신림동 1422-24,37.4846,126.9311,1
1143,서울특별시 관악구,D3050 5-5S 신림동 1430-12,37.4873,126.9281,1
1349,서울특별시 관악구,DA013 1-3SZ 신림동 1458-31,37.4873,126.9244,1
1350,서울특별시 관악구,DA013 2-3SZ 신림동 1458-31,37.4873,126.9244,1
1351,서울특별시 관악구,DA013 3-3SZ 신림동 1458-31,37.4873,126.9245,1
1450,서울특별시 관악구,DA048 1-4R 신림동 1412-2,37.4849,126.9335,1
1451,서울특별시 관악구,DA048 2-4S 신림동 1412-2,37.4848,126.9332,1
1452,서울특별시 관악구,DA048 3-4S 신림동 1412-2,37.4849,126.9337,1
1453,서울특별시 관악구,DA048 4-4S 신림동 1412-2,37.4851,126.9335,1
1454,서울특별시 관악구,DA049 1-5RXXC 신림동 1463-65,37.4849,126.9255,1
1455,서울특별시 관악구,DA049 2-5U 신림동 1463-65,37.485,126.9254,1
1456,서울특별시 관악구,DA049 3-5U 신림동 1463-65,37.4847,126.9257,1
1457,서울특별시 관악구,DA049 4-5U 신림동 1463-65,37.4848,126.9253,1
1458,서울특별시 관악구,DA049 5-5U 신림동 1463-65,37.4849,126.9256,1
1662,서울특별시 관악구,DB034 1-1R 신림동 1451-8,37.4883,126.9251,1
1663,서울특별시 관악구,DB035 1-1R 신림동 1429-29,37.4891,126.9273,1
1664,서울특별시 관악구,DB036 1-1R 신림동 1413-1,37.486,126.9335,1
1920,서울특별시 관악구,DC042 1-5RZ 신림동 1427-14,37.4877,126.9295,1
1921,서울특별시 관악구,DC042 2-5SZ 신림동 1427-14,37.4877,126.9294,1
1922,서울특별시 관악구,DC042 3-5SZ 신림동 1427-14,37.4878,126.9295,1
1923,서울특별시 관악구,DC042 4-5SZ 신림동 1427-14,37.4877,126.9295,1
1924,서울특별시 관악구,DC042 5-5SZ 신림동 1427-14,37.4877,126.9296,1
1925,서울특별시 관악구,DC043 1-5RZ 신림동 1445-14,37.4897,126.9224,1
1926,서울특별시 관악구,DC043 2-5SZ 신림동 1445-14,37.4898,126.9224,1
1927,서울특별시 관악구,DC043 3-5SZ 신림동 1445-14,37.4897,126.9223,1
1928,서울특별시 관악구,DC043 4-5SZ 신림동 1445-14,37.4897,126.9224,1
1929,서울특별시 관악구,DC043 5-5SZ 신림동 1445-14,37.4897,126.9224,1
