name,lat,lng,category,address
24시짜장우동,37.4678717,126.9022058,음식점 > 중식 > 중국요리,서울 금천구 독산로 236
24시뼈다귀전주식당,37.46496596,126.9317212,음식점 > 한식 > 감자탕,서울 관악구 호암로 530
미르보드카페 미림점 & 무인 24시 카페,37.46475333,126.9317316,"가정,생활 > 여가시설 > 보드카페",서울 관악구 호암로 528
24시글로리동물병원,37.4767289,126.8982554,"가정,생활 > 반려동물 > 동물병원",서울 금천구 시흥대로 483
24시한국장,37.48064248,126.9064866,음식점 > 한식,서울 관악구 남부순환로 1403
푸르지오24시사우나,37.48060695,126.9094567,"가정,생활 > 목욕탕,사우나",서울 금천구 남부순환로 1428
쑥고개사우나 24시찜질방,37.47757102,126.9381234,"가정,생활 > 목욕탕,사우나 > 찜질방",서울 관악구 쑥고개로 9
청룡24시불한증막,37.47902253,126.9473919,"가정,생활 > 목욕탕,사우나 > 찜질방",서울 관악구 쑥고개로 100
24시굿케어동물의료센터,37.4798896,126.957042,"가정,생활 > 반려동물 > 동물병원",서울 관악구 남부순환로 1861
동아24시사우나,37.47707091,126.961308,"가정,생활 > 목욕탕,사우나",서울 관악구 봉천로 576
24시만화방,37.48457557,126.9011891,"가정,생활 > 여가시설 > 만화방",서울 구로구 디지털로32나길 38
24시공단사우나,37.48435378,126.9031929,"가정,생활 > 목욕탕,사우나",서울 관악구 시흥대로 578
라이아스 커피 24시 프리미엄 무인셀프카페,37.48422061,126.9216657,음식점 > 카페 > 테마카페 > 무인카페,서울 관악구 남부순환로163나길 2
24시만화카페,37.48564808,126.9292455,"가정,생활 > 여가시설 > 만화방 > 만화카페",서울 관악구 신림로 351
24시서울밥집 봉천점,37.48170348,126.9425509,음식점 > 한식,서울 관악구 장군봉1길 45
24시옛날집,37.48231737,126.9491217,"음식점 > 한식 > 찌개,전골",서울 관악구 봉천로 444
관악프라자24시불가마사우나,37.48358845,126.9551766,"가정,생활 > 목욕탕,사우나",서울 관악구 관악로 212
24시사계스터디카페 남성역점 1관,37.48406126,126.9720332,"서비스,산업 > 전문대행 > 공간대여 > 스터디카페,스터디룸",서울 동작구 사당로 216
24시만화방,37.485656,126.9808146,"가정,생활 > 여가시설 > 만화방",서울 동작구 동작대로27가길 44
보라매 24시한증막사우나찜질방,37.49049587,126.924036,"가정,생활 > 목욕탕,사우나",서울 동작구 보라매로5가길 24
24시전주콩나물국밥,37.48712728,126.9258938,음식점 > 한식 > 국밥,서울 관악구 신림동길 26
24시 옛날농장,37.48808856,126.9301624,"음식점 > 한식 > 육류,고기",서울 관악구 봉천로 262
24시 아이스크림 할인점 우리 집 냉장고,37.48787319,126.930114,"가정,생활 > 식품판매 > 아이스크림판매",서울 관악구 봉천로14길 6
24시전주명가콩나물국밥 봉천점,37.48708792,126.9464296,음식점 > 한식 > 국밥,서울 관악구 은천로 99
