행정동,지번,사유
사당1동,1045-10,API 결과 없음
사당1동,1045-9,API 결과 없음
사당1동,1049-2,API 결과 없음
대방동,29983,API 결과 없음
대방동,30195,API 결과 없음
대방동,28522,API 결과 없음
대방동,28642,API 결과 없음
노량진2동,45401,API 결과 없음
노량진2동,45395,API 결과 없음
대방동,30011,API 결과 없음
대방동,28581,API 결과 없음
노량진2동,45370,API 결과 없음
노량진2동,45310,API 결과 없음
노량진1동,45325,API 결과 없음
노량진1동,45517,API 결과 없음
대방동,23712,API 결과 없음
대방동,22647,API 결과 없음
대방동,22068,API 결과 없음
대방동,22098,API 결과 없음
대방동,21916,API 결과 없음
대방동,17777,API 결과 없음
대방동,17227,API 결과 없음
대방동,18384,API 결과 없음
노량진2동,45594,API 결과 없음
노량진2동,45350,API 결과 없음
노량진2동,45318,API 결과 없음
노량진2동,45439,API 결과 없음
노량진2동,45436,API 결과 없음
노량진2동,15493,API 결과 없음
노량진2동,14946,API 결과 없음
노량진2동,22221,API 결과 없음
노량진1동,23346,API 결과 없음
노량진1동,24532,API 결과 없음
대방동,26724,API 결과 없음
대방동,17593,API 결과 없음
대방동,18963,API 결과 없음
대방동,19756,API 결과 없음
대방동,23163,API 결과 없음
대방동,23529,API 결과 없음
사당2동,31472,API 결과 없음
사당2동,34335,API 결과 없음
사당2동,30376,API 결과 없음
사당2동,35612,API 결과 없음
사당2동,28157,API 결과 없음
사당2동,25355,API 결과 없음
사당2동,20149,API 결과 없음
사당2동,20546,API 결과 없음
사당2동,30072,API 결과 없음
사당2동,31717,API 결과 없음
사당2동,31990,API 결과 없음
사당2동,1275,API 결과 없음
사당2동,20455,API 결과 없음
사당2동,14062,API 결과 없음
사당2동,2279,API 결과 없음
사당2동,1675,API 결과 없음
사당1동,495-1,API 결과 없음
대방동,45345,API 결과 없음
대방동,13516,API 결과 없음
대방동,45402,API 결과 없음
대방동,45429,API 결과 없음
대방동,45305,API 결과 없음
대방동,45600,API 결과 없음
대방동,45435,API 결과 없음
대방동,45383,API 결과 없음
대방동,45355,API 결과 없음
대방동,45292,API 결과 없음
대방동,451-2,API 결과 없음
대방동,452,API 결과 없음
노량진1동,32905,API 결과 없음
상도2동,414-2,API 결과 없음
상도2동,45308,API 결과 없음
노량진2동,329-4,API 결과 없음
노량진2동,329-3,API 결과 없음
상도1동,15-39,API 결과 없음
상도1동,15-26,API 결과 없음
노량진1동,45597,API 결과 없음
노량진1동,45456,API 결과 없음
신대방2동,nan,API 결과 없음
신대방2동,729-29,API 결과 없음
사당2동,152-9,API 결과 없음
