표찰번호,행정동,지번,설치일자,등주형태,램프종류,총등수,기준일자
국사봉2라길1-1,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-2,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-3,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-4,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-5,신대방2동,720,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-6,신대방2동,720,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-7,신대방2동,720,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-8,신대방2동,720,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-9,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-10,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-11,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-12,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-13,신대방2동,720-2,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-14,신대방2동,720,2016-12-16,스텐주,LED일체형,2,2024-07-29
국사봉2라길1-15,신대방2동,720,2016-12-16,스텐주,LED일체형,2,2024-07-29
남부순환로1-1,사당1동,1129,2016-08-31,강판주,LED일체형,1,2024-07-29
남부순환로1-2-,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-4,사당1동,1043-16,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-5,사당1동,1043-16,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-6,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-7,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-8,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-9,사당1동,1044-33,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-10,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-11,사당1동,1044-14,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-12,사당1동,1044-14,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-13,사당1동,1044-4,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-15,사당1동,1045-17,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1-16,사당1동,1045-10,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로1=3,사당1동,1043-15,2016-08-31,강판주,LED일체형,4,2024-07-29
남부순환로1=14,사당1동,1044-4,2016-08-31,강판주,LED일체형,4,2024-07-29
남부순환로1=17,사당1동,1045-9,2016-08-31,신호통합주,LED일체형,4,2024-07-29
남부순환로2-1,사당1동,1046-11,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-2,사당1동,1046-8,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-3,사당1동,1047-45,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-4,사당1동,1047-41,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-5,사당1동,1047-34,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-6,사당1동,1047-32,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-7,사당1동,1047-25,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-8,사당1동,1048-38,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-9,사당1동,1048-36,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2-10,사당1동,1048-35,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로2=11,사당1동,1048-35,2016-08-31,강판주,LED일체형,4,2024-07-29
남부순환로3-1,사당1동,1049-15,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-2,사당1동,1049-11,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-3,사당1동,1049-9,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-4,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-5,사당1동,1049-2,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-6,사당1동,1051-44,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-7,사당1동,1051-25,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-8,사당1동,1051-23,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-10,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-11,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-12,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-13,사당1동,1129,2016-08-31,강판주,LED일체형,3,2024-07-29
남부순환로3-14,사당1동,1129,2016-12-13,강판주,LED일체형,3,2024-07-29
남부순환로3-15,사당1동,1129,2016-12-13,강판주,LED일체형,3,2024-07-29
남부순환로3-9,사당1동,1129,2016-08-31,강판주,LED일체형,4,2024-07-29
남성역쉼터01,사당4동,250-56,2022-04-28,전용주,LED일체형,1,2024-07-29
남성역쉼터02,사당4동,254-8,2022-04-28,전용주,LED일체형,1,2024-07-29
남성역쉼터03,사당4동,712-22,2022-04-28,전용주,LED일체형,1,2024-07-29
노들로1-1,대방동,505,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-2,대방동,505,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-3,대방동,29983,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-4,대방동,29983,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-5,대방동,30195,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-6,대방동,28522,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-7,대방동,28522,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-8,대방동,28522,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-9,대방동,28642,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-10,노량진2동,45401,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-11,노량진2동,45401,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-12,노량진2동,45401,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-13,노량진2동,45401,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-14,노량진2동,45401,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-19,노량진2동,334-1,2018-12-16,강판주,노후등,1,2024-07-29
노들로1-20,노량진2동,334,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-21,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-21-,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-22,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-22-,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-23,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-23-,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-24,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-30,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-31,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-32,노량진2동,45395,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-33,노량진1동,334,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-34,노량진1동,334,2018-12-16,강판주,LED일체형,3,2024-07-29
노들로1-36,노량진1동,45395,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-37,노량진1동,45395,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-38,노량진1동,45395,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-39,노량진1동,45395,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-40,대방동,30011,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로1-41,대방동,30011,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-42,대방동,28581,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-43,대방동,28581,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-44,대방동,28581,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-45,대방동,28581,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-46,노량진2동,45370,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-47,노량진2동,45310,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1-48,노량진2동,45310,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로1=24-,노량진2동,45395,2018-12-16,강판주,LED일체형,4,2024-07-29
노들로1=25-,노량진2동,334,2018-12-16,강판주,LED일체형,4,2024-07-29
노들로1=35,노량진1동,45395,2018-12-16,강판주,LED일체형,4,2024-07-29
노들로2-2,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-3,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-4,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-5,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-6,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-7,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-8,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-9,노량진2동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-10,노량진2동,320-1,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-11,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-12,노량진1동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-13,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-14,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-15,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-16,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-17,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-18,노량진1동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-19,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-20,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-21,노량진1동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-22,노량진1동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-23,노량진1동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-24,노량진1동,45395,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-25,노량진1동,45395,2023-11-23,강판주,LED일체형,1,2024-07-29
노들로2-26,노량진1동,45395,2023-11-23,강판주,LED일체형,1,2024-07-29
노들로2-27,노량진2동,320-1,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로2-28,노량진2동,320-1,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로2-29,노량진2동,320-1,2018-12-16,강판주,LED일체형,1,2024-07-29
노들로2-30,노량진2동,320-1,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-31,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-32,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-33,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-34,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-35,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-36,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-37,노량진1동,319,2018-12-24,강판주,LED일체형,1,2024-07-29
노들로2-38,노량진1동,321,2018-12-24,강판주,LED일체형,1,2024-07-29
