연번,행정구역,안심 주소,위도,경도,CCTV 수량
1,서울특별시 관악구,"AD037 1-1RZ 삼성동 산 83, 등산로길",37.4612,126.9294,1
2,서울특별시 관악구,JA016 2-4UC 미성동 1478-7,37.4781,126.9143,1
3,서울특별시 관악구,A0001 1-1RZ 쑥고개어린이공원 (서림동 1564-68),37.4759,126.9407,1
4,서울특별시 관악구,A0002 1-1RZ 쑥고개어린이공원 (서림동 1564-68),37.476,126.941,1
5,서울특별시 관악구,A0003 1-1R 백설어린이공원 (낙성대동 1606-11),37.4759,126.9536,1
6,서울특별시 관악구,A0004 1-1R 백설어린이공원 (낙성대동 1606-11),37.4761,126.9538,1
7,서울특별시 관악구,A0005 1-1R 신화어린이공원 (서림동 408-10),37.4769,126.9357,1
8,서울특별시 관악구,A0006 1-1R 봉림어린이공원 (서원동 1510-2),37.4827,126.9356,1
9,서울특별시 관악구,A0007 1-1R 약수어린이공원 (낙성대동 1510-19),37.474,126.9622,1
10,서울특별시 관악구,A0008 1-1RZ 해태어린이공원 (서림동 103-141),37.4725,126.9405,1
11,서울특별시 관악구,A0009 1-1RZ 해태어린이공원 (서림동 103-141),37.4727,126.9407,1
12,서울특별시 관악구,A0010 1-1RZ합실어린이공원 (삼성동 1704-4),37.4651,126.9269,1
13,서울특별시 관악구,A0011 1-1RZ 합실어린이공원 (삼성동 1704-4),37.465,126.9272,1
14,서울특별시 관악구,A0012 1-1R 미성동공원 (미성동 597-4와 597-116),37.4762,126.9195,1
15,서울특별시 관악구,A0013 1-1R 미성동공원 (미성동 597-4와 597-119),37.4764,126.9199,1
16,서울특별시 관악구,A0014 1-1RZ 색동공원 (신림동 1418-1와 1414-34),37.4864,126.9329,1
17,서울특별시 관악구,A0015 1-1R 상록공원 (남현동 602-196와 602-186),37.473,126.9802,1
18,서울특별시 관악구,A0016 1-1RZ 상록공원 (남현동 602-196와 602-203),37.4729,126.9804,1
19,서울특별시 관악구,A0017 1-1RZ 새싹공원 (중앙동 1512-9),37.4844,126.9498,1
20,서울특별시 관악구,A0018 1-1RZ 새싹공원 (중앙동 1512-9),37.4846,126.9495,1
21,서울특별시 관악구,A0019 1-1R 밤골공원 (인헌동 1642-4와 1643-10),37.474,126.9674,1
22,서울특별시 관악구,A0020 1-1R 청룡공원 (청룡동 1557-34와 1557-12),37.4778,126.9448,1
23,서울특별시 관악구,A0021 1-1R 보명공원 (난곡동 610-288와 610-297),37.4757,126.9258,1
24,서울특별시 관악구,A0022 1-1R 보명공원 (난곡동 610-288와 610-306),37.4755,126.9257,1
