name,lat,lng,address,score
GS25 시흥공구단지점,37.4411950687508,126.902873337405,서울 금천구 시흥대로 81,5
GS25 시흥대로2점,37.4404929878673,126.903742084573,서울 금천구 시흥대로 72,5
GS25 금천영림점,37.441925526901,126.905887289864,서울 금천구 시흥대로26길 37,5
CU 금천승리점,37.4421993434551,126.904648439154,서울 금천구 시흥대로26길 11,5
CU 시흥박미점,37.44361563191733,126.90451668655889,서울 금천구 시흥대로36길 8,5
CU 시흥공구단지점,37.4424171473624,126.903242407193,서울 금천구 시흥대로 93,5
GS25 광명G타워점,37.44623791193795,126.8943154577847,경기 광명시 소하로 190,5
세븐일레븐 금천힐스테이트점,37.445994647585074,126.90055611470152,서울 금천구 시흥대로 165,5
GS25 광명테크1점,37.444539147222,126.89392119603517,경기 광명시 하안로 60,5
GS25 광명테크3점,37.44464643469053,126.89399562866015,경기 광명시 하안로 60,5
CU 남서울풍림점,37.44706991384156,126.90206224294802,서울 금천구 시흥대로 165,5
GS25 금천하늘정원점,37.4472555413091,126.901003096,서울 금천구 시흥대로39길 48-16,5
이마트24 광명신촌2단지점,37.446556486703685,126.89388670525791,경기 광명시 소하로 189,5
CU 박미삼거리점,37.4477532358736,126.903588129227,서울 금천구 시흥대로 152,5
이마트24 금천별장점,37.4474306719316,126.909277486853,서울 금천구 금하로24길 81,5
GS25 금천문일점,37.4509310072122,126.900207142815,서울 금천구 시흥대로51길 23,5
CU 금천여름점,37.45005794861543,126.90130793223602,서울 금천구 시흥대로47길 18,5
GS25 광명신촌점,37.449201618745434,126.89361512816879,경기 광명시 신촌로 49,5
GS25 시흥뉴타운점,37.448771358159,126.903559699659,서울 금천구 독산로 3,5
CU 시흥사거리역점,37.4522777941739,126.902089358508,서울 금천구 시흥대로56길 8,5
세븐일레븐 금천은행나무로점,37.449917357592206,126.9034497348947,서울 금천구 은행나무로 6,5
CU 시흥독산로점,37.4496777795775,126.905796208917,서울 금천구 독산로 26-1,5
세븐일레븐 금천백산점,37.448575434697524,126.90417134675397,서울 금천구 독산로 10,5
세븐일레븐 시흥은행나무점,37.4514924600725,126.903610454204,서울 금천구 시흥대로50길 26,5
CU 금천은행나무점,37.4516299357395,126.904252212757,서울 금천구 독산로11길 31,5
GS25 시흥별장점,37.449099784045,126.908671982254,서울 금천구 금하로24가길 4,5
CU 시흥승리점,37.4502424843647,126.908950869341,서울 금천구 독산로10길 55,5
CU 시흥앨리점,37.4488491942711,126.909704091373,서울 금천구 금하로24나길 23,5
GS25 은행나무사거리점,37.452341510182,126.906217815284,서울 금천구 독산로 56,5
이마트24 금천대성점,37.45023636424756,126.90802867741581,서울 금천구 독산로10길 37,5
드림마트,37.45105084479744,126.90914766730707,서울 금천구 금하로 713,5
GS25 시흥금하로점,37.4503379161414,126.911220090446,서울 금천구 금하로 734,5
GS25 뉴시흥우방점,37.44992757593119,126.91313503532568,서울 금천구 금하로 750,5
GS25 금천탑골점,37.4507821450043,126.912467255999,서울 금천구 금하로29길 15,5
GS25 시흥5동점,37.452038123772,126.908846977279,서울 금천구 금하로23길 20,5
CU 시흥동일점,37.4498780942839,126.914472049234,서울 금천구 금하로 762-1,5
GS25 시흥탑스빌점,37.4491025049778,126.915983915044,서울 금천구 금하로30길 34,5
GS25 금천벽산타운점,37.449938884872,126.917603603056,서울 금천구 금하로 793,5
